Symbol
LT
RELIANCE
SBIN
HDFCBANK
ICICIBANK
AXISBANK
KOTAKBANK
HCLTECH
INFY
TCS
HDFCAMC
NAM-INDIA
ICICIPRULI
ICICIGI
BAJAJHLDNG
BAJFINANCE
BAJAJ-AUTO
MARUTI
HINDUNILVR
NESTLEIND
PGHH
PIDILITIND
COLPAL
DABUR
GILLETTE
MARICO
ITC
TITAN
PAGEIND
BATAINDIA
HAVELLS
VOLTAS
GLAXO
ABBOTINDIA
PFIZER
SANOFI
ASIANPAINT
BERGEPAINT










