Symbol
HINDPETRO
IOC
ONGC
OIL
SAIL
CHENNPETRO
GSFC
GUJALKALI
GIPCL
POWERGRID
COALINDIA
NTPC
BPCL
BHEL
PFC
RECLTD
BANKBARODA
CANBK
IRFC
UNIONBANK
INDIANB
PNB
BANKINDIA
LICHSGFIN
GICRE
HUDCO
CENTRALBK
J&KBANK
