Symbol
LICI
UTIAMC
ABSLAMC
CRISIL
IEX
AIIL
SUNPHARMA
DRREDDY
CIPLA
ZYDUSLIFE
NATCOPHARMA
DIVISLAB
ALKEM
AJANTPHARM
EMAMILTD
EMCURE
JBCHEPHARM
CAPLIPOINT
ALIVUS
ANTHEM
INDGN
HEROMOTOCO
FORCEMOT
SCHAEFFLER
TIINDIA
MSUMI
SHRIPISTON
ZFCVINDIA
GRSE
HAL
BEL
SUPREMEIND
CUMMINSIND
SHAKTIPUMP
KIRLOSBROS
TIMKEN
SKFINDIA
MAZDOCK
COCHINSHIP
KEI
POLYCAB
ELECON
SUZLON
SIEMENS
CGPOWER
ABB
GVT&D
WAAREEENER
APARINDS
GPIL
RATNAMANI
WELCORP
APLAPOLLO
MAITHANALL
NMDC
LLOYDS
NATIONALUM
HINDCOPPER
LTIM
OFSS
TANLA
MPHASIS
COFORGE
PERSISTENT
TATAELXSI
ZENSARTECH
TATATECH
KPITTECH
HEXT
LTTS
BSOFT
GODFRYPHLP
AVANTIFEED
PETRONET
CASTROLIND
MGL
IGL
SOLARINDS
CHAMBLFERT
COROMANDEL
SUMICHEM
BAYERCROP
FINEORG
PIIND
VINATIORGA
GHCL
HSCL
SUNTV
NCC
NBCC
ENGINERSIN
RITES
GANESHHOU
BLS
INDIAMART
EIHOTEL
ECLERX
IRCTC
IGIL
NESCO
TCI
MSTCLTD
AKZOINDIA
3MINDIA
ACE
